Filename:	D:\Users\Thermal_Users\LeBlanc\Ag1 ink 8_9_16.tg1d

Temperature (°C)	Weight (mg)
130.991	104.9195
131.170	104.9174
131.345	104.9153
131.514	104.9131
131.680	104.9109
131.851	104.9086
132.022	104.9063
132.189	104.9041
132.360	104.9020
132.535	104.9000
132.711	104.8979
132.889	104.8959
133.067	104.8939
133.241	104.8918
133.408	104.8897
133.580	104.8875
133.755	104.8855
133.926	104.8835
134.105	104.8814
134.281	104.8793
134.453	104.8772
134.622	104.8752
134.800	104.8731
134.977	104.8710
135.145	104.8690
135.308	104.8669
135.483	104.8650
135.654	104.8630
135.826	104.8612
136.003	104.8592
136.181	104.8572
136.359	104.8552
136.540	104.8533
136.720	104.8514
136.901	104.8495
137.082	104.8476
137.259	104.8455
137.438	104.8435
137.615	104.8415
137.791	104.8397
137.970	104.8380
138.143	104.8362
138.313	104.8344
138.483	104.8326
138.655	104.8308
138.825	104.8290
138.994	104.8271
139.168	104.8253
139.338	104.8236
139.506	104.8218
139.682	104.8201
139.858	104.8185
140.033	104.8168
140.207	104.8151
140.385	104.8134
140.561	104.8117
140.739	104.8099
140.916	104.8082
141.093	104.8065
141.271	104.8047
141.445	104.8032
141.623	104.8017
141.798	104.7999
141.973	104.7980
142.145	104.7961
142.321	104.7942
142.496	104.7926
142.671	104.7911
142.845	104.7894
143.017	104.7878
143.191	104.7862
143.367	104.7846
143.542	104.7829
143.716	104.7812
143.891	104.7795
144.069	104.7778
144.248	104.7762
144.424	104.7746
144.603	104.7730
144.778	104.7714
144.953	104.7698
145.130	104.7683
145.307	104.7666
145.481	104.7649
145.652	104.7631
145.821	104.7615
145.991	104.7600
146.159	104.7584
146.330	104.7569
146.506	104.7552
146.681	104.7537
146.848	104.7522
147.016	104.7507
147.185	104.7491
147.348	104.7475
147.511	104.7458
147.671	104.7442
147.837	104.7427
148.000	104.7411
148.164	104.7396
148.331	104.7380
148.500	104.7366
148.669	104.7351
148.842	104.7336
149.026	104.7320
149.208	104.7305
149.382	104.7291
149.560	104.7276
149.742	104.7261
149.925	104.7246
150.107	104.7231
150.287	104.7215
150.466	104.7199
150.646	104.7184
150.825	104.7170
151.004	104.7155
151.183	104.7140
151.358	104.7124
151.536	104.7109
151.714	104.7095
151.890	104.7081
152.063	104.7067
152.239	104.7052
152.419	104.7036
152.597	104.7021
152.776	104.7006
152.952	104.6991
153.129	104.6977
153.304	104.6963
153.477	104.6950
153.654	104.6936
153.831	104.6921
154.008	104.6907
154.182	104.6892
154.358	104.6879
154.536	104.6865
154.713	104.6850
154.888	104.6837
155.064	104.6823
155.242	104.6808
155.420	104.6793
155.599	104.6779
155.777	104.6764
155.955	104.6750
156.133	104.6736
156.308	104.6721
156.482	104.6707
156.654	104.6692
156.829	104.6677
157.000	104.6664
157.173	104.6650
157.345	104.6637
157.521	104.6623
157.693	104.6609
157.864	104.6595
158.040	104.6582
158.216	104.6571
158.396	104.6558
158.573	104.6543
158.752	104.6528
158.930	104.6513
159.109	104.6501
159.288	104.6488
159.466	104.6473
159.643	104.6458
159.821	104.6443
159.993	104.6428
160.166	104.6412
160.340	104.6398
160.511	104.6384
160.681	104.6373
160.850	104.6361
161.022	104.6347
161.194	104.6332
161.364	104.6318
161.536	104.6302
161.704	104.6286
161.871	104.6272
162.041	104.6259
162.209	104.6246
162.377	104.6234
162.546	104.6222
162.714	104.6211
162.886	104.6199
163.060	104.6183
163.235	104.6168
163.417	104.6153
163.597	104.6137
163.777	104.6119
163.955	104.6104
164.133	104.6091
164.310	104.6077
164.486	104.6063
164.660	104.6050
164.835	104.6037
165.006	104.6024
165.179	104.6010
165.353	104.5995
165.524	104.5980
165.699	104.5965
165.875	104.5950
166.051	104.5934
166.225	104.5919
166.399	104.5905
166.571	104.5890
166.748	104.5876
166.926	104.5861
167.102	104.5847
167.277	104.5834
167.449	104.5820
167.619	104.5805
167.789	104.5791
167.956	104.5778
168.124	104.5764
168.290	104.5749
168.456	104.5733
168.620	104.5717
168.785	104.5703
168.945	104.5688
169.104	104.5675
