Filename:	D:\Users\Thermal_Users\LeBlanc\Ag2_8_31_16.tg1d

Time (min)	Weight % (%)
10.467	97.7463
10.483	97.7470
10.500	97.7457
10.517	97.7441
10.533	97.7422
10.550	97.7364
10.567	97.7321
10.583	97.7317
10.600	97.7340
10.617	97.7328
10.633	97.7271
10.650	97.7219
10.667	97.7233
10.683	97.7194
10.700	97.7166
10.717	97.7152
10.733	97.7119
10.750	97.7079
10.767	97.7059
10.783	97.7019
10.800	97.6983
10.817	97.6970
10.833	97.6891
10.850	97.6806
10.867	97.6759
10.883	97.6726
10.900	97.6710
10.917	97.6693
10.933	97.6680
10.950	97.6683
10.967	97.6684
10.983	97.6707
11.000	97.6731
11.017	97.6723
11.033	97.6684
11.050	97.6663
11.067	97.6680
11.083	97.6682
11.100	97.6650
11.117	97.6625
11.133	97.6577
11.150	97.6507
11.167	97.6467
11.183	97.6430
11.200	97.6390
11.217	97.6366
11.233	97.6351
11.250	97.6342
11.267	97.6316
11.283	97.6308
11.300	97.6310
11.317	97.6301
11.333	97.6240
11.350	97.6184
11.367	97.6159
11.383	97.6163
11.400	97.6141
11.417	97.6099
11.433	97.6077
11.450	97.6065
11.467	97.6058
11.483	97.6038
11.500	97.5978
11.517	97.5909
11.533	97.5866
11.550	97.5853
11.567	97.5811
11.583	97.5774
11.600	97.5767
11.617	97.5751
11.633	97.5727
11.650	97.5722
11.667	97.5723
11.683	97.5707
11.700	97.5683
11.717	97.5626
11.733	97.5596
11.750	97.5588
11.767	97.5631
11.783	97.5618
11.800	97.5586
11.817	97.5544
11.833	97.5497
11.850	97.5460
11.867	97.5443
11.883	97.5408
11.900	97.5368
11.917	97.5348
11.933	97.5344
11.950	97.5310
11.967	97.5295
11.983	97.5306
12.000	97.5309
12.017	97.5269
12.033	97.5222
12.050	97.5187
12.067	97.5189
12.083	97.5211
12.100	97.5198
12.117	97.5157
12.133	97.5123
12.150	97.5093
12.167	97.5129
12.183	97.5130
12.200	97.5111
12.217	97.5093
12.233	97.5068
12.250	97.5047
12.267	97.5001
12.283	97.4976
12.300	97.4982
12.317	97.4944
12.333	97.4937
12.350	97.4906
12.367	97.4856
12.383	97.4809
12.400	97.4783
12.417	97.4774
12.433	97.4718
12.450	97.4703
12.467	97.4695
12.483	97.4665
12.500	97.4673
12.517	97.4652
12.533	97.4604
12.550	97.4590
12.567	97.4549
12.583	97.4517
12.600	97.4510
12.617	97.4544
12.633	97.4530
12.650	97.4506
12.667	97.4516
12.683	97.4487
12.700	97.4460
12.717	97.4412
12.733	97.4360
12.750	97.4361
12.767	97.4330
12.783	97.4331
12.800	97.4320
12.817	97.4306
12.833	97.4322
12.850	97.4334
12.867	97.4310
12.883	97.4260
12.900	97.4263
12.917	97.4257
12.933	97.4212
12.950	97.4161
12.967	97.4111
12.983	97.4086
13.000	97.4081
13.017	97.4057
13.033	97.4031
13.050	97.3969
13.067	97.3920
13.083	97.3902
13.100	97.3914
13.117	97.3876
13.133	97.3846
13.150	97.3831
13.167	97.3821
13.183	97.3804
13.200	97.3759
13.217	97.3745
13.233	97.3741
13.250	97.3754
13.267	97.3746
13.283	97.3747
13.300	97.3776
13.317	97.3759
13.333	97.3724
13.350	97.3684
13.367	97.3618
13.383	97.3547
13.400	97.3510
13.417	97.3489
13.433	97.3487
13.450	97.3485
13.467	97.3513
13.483	97.3546
13.500	97.3516
13.517	97.3525
13.533	97.3532
13.550	97.3499
13.567	97.3480
13.583	97.3442
13.600	97.3399
13.617	97.3363
13.633	97.3355
13.650	97.3339
13.667	97.3334
13.683	97.3316
13.700	97.3330
13.717	97.3372
13.733	97.3360
13.750	97.3300
13.767	97.3297
13.783	97.3292
13.800	97.3277
13.817	97.3261
13.833	97.3229
13.850	97.3204
13.867	97.3189
13.883	97.3144
13.900	97.3192
13.917	97.3198
13.933	97.3143
13.950	97.3100
13.967	97.3049
13.983	97.2966
14.000	97.2906
14.017	97.2879
14.033	97.2874
14.050	97.2874
14.067	97.2833
14.083	97.2798
14.100	97.2740
14.117	97.2707
14.133	97.2717
14.150	97.2743
14.167	97.2840
14.183	97.2897
14.200	97.2840
14.217	97.2763
14.233	97.2709
14.250	97.2686
14.267	97.2750
14.283	97.2764
14.300	97.2720
14.317	97.2671
14.333	97.2638
14.350	97.2684
14.367	97.2682
14.383	97.2633
14.400	97.2644
14.417	97.2635
14.433	97.2572
14.450	97.2493
14.467	97.2489
14.483	97.2527
14.500	97.2500
14.517	97.2430
14.533	97.2417
14.550	97.2399
14.567	97.2395
14.583	97.2386
14.600	97.2311
14.617	97.2242
14.633	97.2237
14.650	97.2254
14.667	97.2230
14.683	97.2168
14.700	97.2149
14.717	97.2139
14.733	97.2136
14.750	97.2138
14.767	97.2128
14.783	97.2151
14.800	97.2227
14.817	97.2244
14.833	97.2197
14.850	97.2103
14.867	97.2016
14.883	97.2002
14.900	97.1979
14.917	97.2012
14.933	97.2036
14.950	97.2002
14.967	97.1956
14.983	97.1904
15.000	97.1882
15.017	97.1831
15.033	97.1817
15.050	97.1826
15.067	97.1794
15.083	97.1739
15.100	97.1793
15.117	97.1837
15.133	97.1816
15.150	97.1754
15.167	97.1712
15.183	97.1659
15.200	97.1657
15.217	97.1647
15.233	97.1630
15.250	97.1611
15.267	97.1622
15.283	97.1675
15.300	97.1658
15.317	97.1600
15.333	97.1545
15.350	97.1502
15.367	97.1488
15.383	97.1487
15.400	97.1463
15.417	97.1435
15.433	97.1432
15.450	97.1456
15.467	97.1508
15.483	97.1502
15.500	97.1430
15.517	97.1389
15.533	97.1380
15.550	97.1362
15.567	97.1350
15.583	97.1345
15.600	97.1312
15.617	97.1260
15.633	97.1200
15.650	97.1162
15.667	97.1132
15.683	97.1095
15.700	97.1068
15.717	97.1109
15.733	97.1077
15.750	97.1084
15.767	97.1123
15.783	97.1165
15.800	97.1249
15.817	97.1303
15.833	97.1276
15.850	97.1223
15.867	97.1212
15.883	97.1196
15.900	97.1130
15.917	97.1084
15.933	97.1052
15.950	97.0976
15.967	97.0937
15.983	97.0928
16.000	97.0881
16.017	97.0841
16.033	97.0787
16.050	97.0797
16.067	97.0782
16.083	97.0788
16.100	97.0763
16.117	97.0767
16.133	97.0774
16.150	97.0741
16.167	97.0718
16.183	97.0704
16.200	97.0702
16.217	97.0682
16.233	97.0653
16.250	97.0649
16.267	97.0644
16.283	97.0630
16.300	97.0645
16.317	97.0670
16.333	97.0649
16.350	97.0684
16.367	97.0659
16.383	97.0581
16.400	97.0542
16.417	97.0563
16.433	97.0637
16.450	97.0592
16.467	97.0521
16.483	97.0503
16.500	97.0462
16.517	97.0421
16.533	97.0398
16.550	97.0399
16.567	97.0380
16.583	97.0347
16.600	97.0331
16.617	97.0317
16.633	97.0342
16.650	97.0334
16.667	97.0315
16.683	97.0400
16.700	97.0413
16.717	97.0447
16.733	97.0423
16.750	97.0372
16.767	97.0352
16.783	97.0327
16.800	97.0315
16.817	97.0222
16.833	97.0161
16.850	97.0118
16.867	97.0099
16.883	97.0133
16.900	97.0175
16.917	97.0156
16.933	97.0163
16.950	97.0246
16.967	97.0271
16.983	97.0248
17.000	97.0206
17.017	97.0160
17.033	97.0128
17.050	97.0093
17.067	97.0085
17.083	97.0025
17.100	96.9969
17.117	96.9943
17.133	96.9897
17.150	96.9879
17.167	96.9835
17.183	96.9755
17.200	96.9683
17.217	96.9633
17.233	96.9590
17.250	96.9535
17.267	96.9513
17.283	96.9461
17.300	96.9387
17.317	96.9336
17.333	96.9299
17.350	96.9269
17.367	96.9205
17.383	96.9125
17.400	96.9015
17.417	96.8947
17.433	96.8877
17.450	96.8812
17.467	96.8711
17.483	96.8578
17.500	96.8441
17.517	96.8391
17.533	96.8313
17.550	96.8225
17.567	96.8151
17.583	96.8069
17.600	96.7982
17.617	96.7875
17.633	96.7768
17.650	96.7642
17.667	96.7488
17.683	96.7329
17.700	96.7126
17.717	96.7014
17.733	96.6896
17.750	96.6730
17.767	96.6543
17.783	96.6386
17.800	96.6246
17.817	96.6099
17.833	96.5921
17.850	96.5740
17.867	96.5550
17.883	96.5348
17.900	96.5190
17.917	96.5041
17.933	96.4889
17.950	96.4697
17.967	96.4512
17.983	96.4354
18.000	96.4178
