Filename:	D:\Users\Thermal_Users\LeBlanc\Ag2_8_31_16.tg1d

Temperature (°C)	Weight % (%)
109.166	97.4310
109.169	97.4260
109.167	97.4263
109.167	97.4257
109.168	97.4212
109.167	97.4161
109.166	97.4111
109.178	97.4086
109.183	97.4081
109.185	97.4057
109.187	97.4031
109.193	97.3969
109.200	97.3920
109.204	97.3902
109.205	97.3914
109.210	97.3876
109.214	97.3846
109.215	97.3831
109.213	97.3821
109.215	97.3804
109.208	97.3759
109.208	97.3745
109.204	97.3741
109.202	97.3754
109.201	97.3746
109.198	97.3747
109.195	97.3776
109.198	97.3759
109.197	97.3724
109.203	97.3684
109.202	97.3618
109.209	97.3547
109.211	97.3510
109.217	97.3489
109.218	97.3487
109.222	97.3485
109.218	97.3513
109.218	97.3546
109.219	97.3516
109.226	97.3525
109.228	97.3532
109.228	97.3499
109.228	97.3480
109.229	97.3442
109.225	97.3399
109.226	97.3363
109.223	97.3355
109.215	97.3339
109.208	97.3334
109.201	97.3316
109.199	97.3330
109.199	97.3372
109.193	97.3360
109.192	97.3300
109.194	97.3297
109.189	97.3292
109.185	97.3277
109.183	97.3261
109.183	97.3229
109.180	97.3204
109.173	97.3189
109.166	97.3144
109.161	97.3192
109.150	97.3198
109.147	97.3143
109.153	97.3100
109.154	97.3049
109.155	97.2966
109.162	97.2906
109.166	97.2879
109.164	97.2874
109.156	97.2874
109.155	97.2833
109.145	97.2798
109.129	97.2740
109.121	97.2707
109.119	97.2717
109.110	97.2743
109.107	97.2840
109.107	97.2897
109.113	97.2840
109.122	97.2763
109.129	97.2709
109.137	97.2686
109.144	97.2750
109.148	97.2764
109.154	97.2720
109.160	97.2671
109.164	97.2638
109.172	97.2684
109.172	97.2682
109.179	97.2633
109.183	97.2644
109.190	97.2635
109.196	97.2572
109.208	97.2493
109.215	97.2489
109.213	97.2527
109.212	97.2500
109.221	97.2430
109.234	97.2417
109.242	97.2399
109.251	97.2395
109.254	97.2386
109.246	97.2311
109.245	97.2242
109.248	97.2237
109.245	97.2254
109.240	97.2230
109.248	97.2168
109.246	97.2149
109.241	97.2139
109.236	97.2136
109.239	97.2138
109.238	97.2128
109.234	97.2151
109.232	97.2227
109.231	97.2244
109.234	97.2197
109.232	97.2103
109.234	97.2016
109.240	97.2002
109.243	97.1979
109.248	97.2012
109.253	97.2036
109.250	97.2002
109.252	97.1956
109.249	97.1904
109.254	97.1882
109.251	97.1831
109.249	97.1817
109.247	97.1826
109.239	97.1794
109.225	97.1739
109.219	97.1793
109.223	97.1837
109.219	97.1816
109.212	97.1754
109.210	97.1712
109.208	97.1659
109.206	97.1657
109.206	97.1647
109.201	97.1630
109.200	97.1611
109.199	97.1622
109.195	97.1675
109.190	97.1658
109.186	97.1600
109.187	97.1545
109.194	97.1502
109.192	97.1488
109.191	97.1487
109.191	97.1463
109.192	97.1435
109.195	97.1432
109.193	97.1456
109.192	97.1508
109.190	97.1502
109.189	97.1430
109.187	97.1389
109.186	97.1380
109.183	97.1362
109.182	97.1350
109.196	97.1345
109.205	97.1312
109.208	97.1260
109.211	97.1200
109.214	97.1162
109.214	97.1132
109.217	97.1095
109.223	97.1068
109.221	97.1109
109.228	97.1077
109.237	97.1084
109.239	97.1123
109.242	97.1165
109.244	97.1249
109.243	97.1303
109.238	97.1276
109.235	97.1223
109.237	97.1212
109.237	97.1196
109.243	97.1130
109.243	97.1084
109.247	97.1052
109.247	97.0976
109.251	97.0937
109.252	97.0928
109.255	97.0881
109.258	97.0841
109.264	97.0787
109.262	97.0797
109.262	97.0782
109.262	97.0788
109.272	97.0763
109.279	97.0767
109.269	97.0774
109.265	97.0741
109.262	97.0718
109.262	97.0704
109.262	97.0702
109.267	97.0682
109.270	97.0653
109.274	97.0649
109.277	97.0644
109.278	97.0630
109.278	97.0645
109.281	97.0670
109.284	97.0649
109.283	97.0684
109.285	97.0659
109.292	97.0581
109.292	97.0542
109.299	97.0563
109.288	97.0637
109.284	97.0592
109.283	97.0521
109.283	97.0503
109.277	97.0462
109.272	97.0421
109.276	97.0398
109.264	97.0399
109.257	97.0380
109.255	97.0347
109.251	97.0331
109.250	97.0317
109.249	97.0342
109.249	97.0334
109.254	97.0315
109.257	97.0400
109.291	97.0413
109.381	97.0447
109.539	97.0423
109.798	97.0372
110.192	97.0352
110.726	97.0327
111.407	97.0315
112.214	97.0222
113.143	97.0161
114.174	97.0118
115.294	97.0099
116.484	97.0133
117.740	97.0175
119.053	97.0156
120.423	97.0163
121.834	97.0246
123.283	97.0271
124.769	97.0248
126.286	97.0206
127.833	97.0160
129.402	97.0128
130.988	97.0093
132.589	97.0085
134.204	97.0025
135.837	96.9969
137.489	96.9943
139.160	96.9897
140.844	96.9879
142.541	96.9835
144.247	96.9755
145.964	96.9683
147.686	96.9633
149.419	96.9590
151.156	96.9535
152.893	96.9513
154.627	96.9461
156.352	96.9387
158.071	96.9336
159.781	96.9299
161.484	96.9269
163.178	96.9205
164.864	96.9125
166.542	96.9015
168.216	96.8947
169.887	96.8877
171.550	96.8812
173.206	96.8711
174.854	96.8578
176.506	96.8441
178.163	96.8391
179.824	96.8313
181.491	96.8225
183.162	96.8151
184.841	96.8069
186.525	96.7982
188.210	96.7875
189.897	96.7768
191.576	96.7642
193.209	96.7488
194.750	96.7329
196.155	96.7126
197.401	96.7014
198.489	96.6896
199.434	96.6730
200.253	96.6543
200.964	96.6386
201.590	96.6246
202.146	96.6099
202.640	96.5921
203.082	96.5740
203.477	96.5550
203.837	96.5348
204.166	96.5190
204.470	96.5041
204.746	96.4889
205.005	96.4697
205.244	96.4512
205.470	96.4354
205.686	96.4178
205.890	96.4057
206.084	96.3877
206.267	96.3722
206.439	96.3609
206.600	96.3477
206.756	96.3338
206.905	96.3172
207.047	96.3057
207.181	96.2947
207.308	96.2810
207.424	96.2597
207.531	96.2419
207.630	96.2290
207.725	96.2201
207.813	96.2096
207.900	96.1987
207.985	96.1861
208.064	96.1735
208.144	96.1629
208.220	96.1498
208.295	96.1323
208.367	96.1161
208.433	96.1031
208.494	96.0907
208.551	96.0777
208.603	96.0677
208.653	96.0596
208.701	96.0464
208.746	96.0491
208.790	96.0589
208.827	96.0545
208.864	96.0357
208.898	96.0187
208.930	96.0041
208.962	95.9875
208.992	95.9706
209.025	95.9554
209.061	95.9419
209.099	95.9315
209.135	95.9265
209.169	95.9193
209.195	95.9061
209.216	95.8966
209.235	95.8864
209.253	95.8771
209.270	95.8742
209.290	95.8709
209.314	95.8670
209.341	95.8587
209.376	95.8495
209.414	95.8402
209.454	95.8334
