Filename:	D:\Users\Thermal_Users\LeBlanc\Cu ink 8-10-16.tg1d

Time (min)	Weight (mg)
8.400	65.1231
8.417	65.1325
8.433	65.1453
8.450	65.1529
8.467	65.1588
8.483	65.1664
8.500	65.1733
8.517	65.1802
8.533	65.1859
8.550	65.1937
8.567	65.2009
8.583	65.2097
8.600	65.2132
8.617	65.2211
8.633	65.2326
8.650	65.2428
8.667	65.2539
8.683	65.2626
8.700	65.2715
8.717	65.2780
8.733	65.2861
8.750	65.2924
8.767	65.2987
8.783	65.3043
8.800	65.3128
8.817	65.3223
8.833	65.3307
8.850	65.3405
8.867	65.3477
8.883	65.3534
8.900	65.3559
8.917	65.3511
8.933	65.3645
8.950	65.3954
8.967	65.4190
8.983	65.4259
9.000	65.4312
9.017	65.4388
9.033	65.4487
9.050	65.4591
9.067	65.4681
9.083	65.4763
9.100	65.4835
9.117	65.4877
9.133	65.4876
9.150	65.4890
9.167	65.4940
9.183	65.5045
9.200	65.5205
9.217	65.5357
9.233	65.5494
9.250	65.5626
9.267	65.5671
9.283	65.5698
9.300	65.5801
9.317	65.5930
9.333	65.6066
9.350	65.6203
9.367	65.6317
9.383	65.6353
9.400	65.6396
9.417	65.6478
9.433	65.6568
9.450	65.6666
9.467	65.6776
9.483	65.6882
9.500	65.6964
9.517	65.6943
9.533	65.6815
9.550	65.6686
9.567	65.6589
9.583	65.6573
9.600	65.6609
9.617	65.6641
9.633	65.6726
9.650	65.6782
9.667	65.6853
9.683	65.6912
9.700	65.6980
9.717	65.7058
9.733	65.7136
9.750	65.7204
9.767	65.7239
9.783	65.7269
9.800	65.7334
9.817	65.7466
9.833	65.7535
9.850	65.7651
9.867	65.7788
9.883	65.7970
9.900	65.8105
9.917	65.8237
9.933	65.8333
9.950	65.8483
9.967	65.8625
9.983	65.8714
10.000	65.8814
10.017	65.8899
10.033	65.8962
10.050	65.9000
10.067	65.9058
10.083	65.9136
10.100	65.9159
10.117	65.9241
10.133	65.9351
10.150	65.9416
10.167	65.9494
10.183	65.9604
10.200	65.9744
10.217	65.9895
10.233	66.0057
10.250	66.0223
10.267	66.0353
10.283	66.0425
10.300	66.0441
10.317	66.0469
10.333	66.0510
10.350	66.0572
10.367	66.0637
10.383	66.0753
10.400	66.0850
10.417	66.0928
10.433	66.1036
10.450	66.1138
10.467	66.1164
10.483	66.1222
10.500	66.1319
10.517	66.1447
10.533	66.1559
10.550	66.1637
10.567	66.1663
10.583	66.1688
10.600	66.1760
10.617	66.1830
10.633	66.1862
10.650	66.1843
10.667	66.1875
10.683	66.1934
10.700	66.2026
10.717	66.2149
10.733	66.2228
10.750	66.2278
10.767	66.2321
10.783	66.2389
10.800	66.2440
10.817	66.2398
10.833	66.2494
10.850	66.2698
10.867	66.2844
10.883	66.2945
10.900	66.3001
10.917	66.3121
10.933	66.3183
10.950	66.3253
10.967	66.3264
10.983	66.3272
11.000	66.3349
11.017	66.3400
11.033	66.3398
11.050	66.3342
11.067	66.3366
11.083	66.3449
11.100	66.3574
11.117	66.3732
11.133	66.3868
11.150	66.3960
11.167	66.4053
11.183	66.4165
11.200	66.4282
11.217	66.4354
11.233	66.4409
11.250	66.4482
11.267	66.4559
11.283	66.4621
11.300	66.4697
11.317	66.4750
11.333	66.4793
11.350	66.4878
11.367	66.4981
11.383	66.5065
11.400	66.5129
11.417	66.5174
11.433	66.5246
11.450	66.5333
11.467	66.5353
11.483	66.5348
11.500	66.5378
11.517	66.5429
11.533	66.5463
11.550	66.5542
11.567	66.5668
11.583	66.5802
11.600	66.5922
11.617	66.6009
11.633	66.6087
11.650	66.6174
11.667	66.6248
11.683	66.6279
11.700	66.6294
11.717	66.6327
11.733	66.6383
11.750	66.6429
11.767	66.6492
11.783	66.6597
11.800	66.6692
11.817	66.6766
11.833	66.6845
11.850	66.6915
11.867	66.6967
11.883	66.7030
11.900	66.7106
11.917	66.7224
11.933	66.7321
11.950	66.7404
11.967	66.7466
11.983	66.7552
12.000	66.7645
12.017	66.7697
12.033	66.7699
12.050	66.7710
12.067	66.7834
12.083	66.8035
12.100	66.8211
12.117	66.8191
12.133	66.8053
12.150	66.7992
12.167	66.7926
12.183	66.7836
12.200	66.7796
12.217	66.7810
12.233	66.7857
12.250	66.7915
12.267	66.8018
12.283	66.8139
12.300	66.8231
12.317	66.8291
12.333	66.8348
12.350	66.8383
12.367	66.8430
12.383	66.8496
12.400	66.8558
12.417	66.8623
12.433	66.8683
12.450	66.8766
12.467	66.8845
12.483	66.8922
12.500	66.8992
12.517	66.9050
12.533	66.9107
12.550	66.9176
12.567	66.9257
12.583	66.9324
12.600	66.9379
12.617	66.9452
12.633	66.9506
12.650	66.9556
12.667	66.9614
12.683	66.9667
12.700	66.9743
12.717	66.9854
12.733	66.9959
12.750	67.0030
12.767	67.0074
12.783	67.0131
12.800	67.0196
12.817	67.0259
12.833	67.0325
12.850	67.0481
12.867	67.0665
12.883	67.0763
12.900	67.0805
12.917	67.0839
12.933	67.0894
12.950	67.0988
12.967	67.1099
12.983	67.1190
13.000	67.1237
13.017	67.1287
13.033	67.1336
13.050	67.1397
13.067	67.1431
13.083	67.1465
13.100	67.1541
13.117	67.1628
13.133	67.1699
13.150	67.1736
13.167	67.1798
13.183	67.1848
13.200	67.1898
13.217	67.1943
13.233	67.2011
13.250	67.2087
13.267	67.2176
13.283	67.2230
13.300	67.2292
13.317	67.2395
13.333	67.2501
13.350	67.2559
13.367	67.2617
13.383	67.2672
13.400	67.2720
13.417	67.2767
13.433	67.2817
13.450	67.2876
13.467	67.2936
13.483	67.2984
13.500	67.3014
13.517	67.3051
13.533	67.3069
13.550	67.3135
13.567	67.3221
13.583	67.3322
13.600	67.3417
13.617	67.3464
13.633	67.3474
13.650	67.3551
13.667	67.3687
13.683	67.3776
13.700	67.3802
13.717	67.3868
13.733	67.3922
13.750	67.3950
13.767	67.3994
13.783	67.4071
13.800	67.4073
13.817	67.4078
13.833	67.4180
13.850	67.4288
13.867	67.4401
13.883	67.4471
13.900	67.4537
13.917	67.4577
13.933	67.4626
13.950	67.4691
13.967	67.4771
13.983	67.4796
14.000	67.4797
14.017	67.4863
14.033	67.4972
14.050	67.5060
14.067	67.5115
14.083	67.5131
14.100	67.5141
14.117	67.5189
14.133	67.5196
14.150	67.5226
14.167	67.5258
14.183	67.5317
14.200	67.5363
14.217	67.5415
14.233	67.5475
14.250	67.5551
14.267	67.5672
14.283	67.5748
14.300	67.5797
14.317	67.5855
14.333	67.5933
14.350	67.5984
14.367	67.6058
14.383	67.6132
14.400	67.6184
14.417	67.6243
14.433	67.6310
14.450	67.6362
14.467	67.6414
14.483	67.6476
14.500	67.6502
14.517	67.6549
14.533	67.6616
14.550	67.6673
14.567	67.6735
14.583	67.6793
14.600	67.6847
14.617	67.6891
14.633	67.6925
14.650	67.6940
14.667	67.6997
14.683	67.7046
14.700	67.7100
14.717	67.7168
14.733	67.7227
14.750	67.7279
14.767	67.7340
14.783	67.7426
14.800	67.7511
14.817	67.7577
14.833	67.7579
14.850	67.7616
14.867	67.7696
14.883	67.7698
14.900	67.7722
14.917	67.7755
14.933	67.7822
14.950	67.7921
14.967	67.8024
14.983	67.8126
15.000	67.8200
15.017	67.8242
15.033	67.8281
15.050	67.8315
15.067	67.8377
15.083	67.8443
15.100	67.8561
15.117	67.8630
15.133	67.8665
15.150	67.8676
15.167	67.8683
15.183	67.8712
15.200	67.8768
15.217	67.8853
15.233	67.8946
15.250	67.8995
15.267	67.9068
15.283	67.9119
15.300	67.9193
15.317	67.9247
15.333	67.9331
15.350	67.9431
15.367	67.9525
15.383	67.9647
15.400	67.9743
15.417	67.9750
15.433	67.9753
