Filename:	D:\Users\Thermal_Users\LeBlanc\Cu ink 8_8_16.tg1d

Time (min)	Weight % (%)
14.133	99.9877
14.150	99.9840
14.167	99.9806
14.183	99.9769
14.200	99.9732
14.217	99.9694
14.233	99.9656
14.250	99.9622
14.267	99.9591
14.283	99.9558
14.300	99.9523
14.317	99.9486
14.333	99.9448
14.350	99.9407
14.367	99.9370
14.383	99.9331
14.400	99.9294
14.417	99.9262
14.433	99.9224
14.450	99.9186
14.467	99.9147
14.483	99.9106
14.500	99.9066
14.517	99.9028
14.533	99.8989
14.550	99.8951
14.567	99.8912
14.583	99.8877
14.600	99.8841
14.617	99.8804
14.633	99.8765
14.650	99.8723
14.667	99.8683
14.683	99.8641
14.700	99.8607
14.717	99.8569
14.733	99.8528
14.750	99.8486
14.767	99.8444
14.783	99.8405
14.800	99.8365
14.817	99.8331
14.833	99.8292
14.850	99.8249
14.867	99.8206
14.883	99.8165
14.900	99.8125
14.917	99.8081
14.933	99.8037
14.950	99.7995
14.967	99.7951
14.983	99.7908
15.000	99.7861
15.017	99.7820
15.033	99.7779
15.050	99.7737
15.067	99.7696
15.083	99.7655
15.100	99.7616
15.117	99.7573
15.133	99.7531
15.150	99.7485
15.167	99.7438
15.183	99.7393
15.200	99.7348
15.217	99.7304
15.233	99.7257
15.250	99.7212
15.267	99.7168
15.283	99.7126
15.300	99.7085
15.317	99.7042
15.333	99.6999
15.350	99.6956
15.367	99.6905
15.383	99.6855
15.400	99.6804
15.417	99.6757
15.433	99.6711
15.450	99.6666
15.467	99.6621
15.483	99.6577
15.500	99.6533
15.517	99.6488
15.533	99.6445
15.550	99.6399
15.567	99.6357
15.583	99.6311
15.600	99.6270
15.617	99.6226
15.633	99.6176
15.650	99.6129
15.667	99.6082
15.683	99.6034
15.700	99.5987
15.717	99.5937
15.733	99.5892
15.750	99.5848
15.767	99.5803
15.783	99.5757
15.800	99.5713
15.817	99.5671
15.833	99.5628
15.850	99.5585
15.867	99.5542
15.883	99.5499
15.900	99.5458
15.917	99.5417
15.933	99.5376
15.950	99.5336
15.967	99.5295
15.983	99.5250
16.000	99.5209
16.017	99.5170
16.033	99.5131
16.050	99.5097
16.067	99.5061
16.083	99.5023
16.100	99.4980
16.117	99.4937
16.133	99.4895
16.150	99.4854
16.167	99.4814
16.183	99.4772
16.200	99.4728
16.217	99.4684
16.233	99.4642
16.250	99.4607
16.267	99.4574
16.283	99.4540
16.300	99.4507
16.317	99.4471
16.333	99.4435
16.350	99.4398
16.367	99.4366
16.383	99.4335
16.400	99.4306
16.417	99.4270
16.433	99.4239
16.450	99.4201
16.467	99.4165
16.483	99.4132
16.500	99.4099
16.517	99.4071
16.533	99.4043
16.550	99.4016
16.567	99.3987
16.583	99.3957
16.600	99.3927
16.617	99.3894
16.633	99.3866
16.650	99.3837
16.667	99.3806
16.683	99.3776
16.700	99.3751
16.717	99.3731
16.733	99.3710
16.750	99.3685
16.767	99.3659
16.783	99.3633
16.800	99.3605
16.817	99.3582
16.833	99.3559
