Filename:	D:\Users\Thermal_Users\LeBlanc\Ag2 ink 8_9_16.tg1d

Temperature (°C)	Weight (mg)
112.933	74.4246
113.099	74.4212
113.276	74.4178
113.455	74.4145
113.631	74.4112
113.811	74.4079
113.988	74.4046
114.155	74.4011
114.326	74.3977
114.502	74.3943
114.677	74.3910
114.845	74.3877
115.017	74.3843
115.188	74.3809
115.360	74.3776
115.536	74.3743
115.712	74.3708
115.885	74.3675
116.067	74.3640
116.248	74.3606
116.426	74.3571
116.597	74.3535
116.760	74.3500
116.929	74.3466
117.099	74.3432
117.271	74.3397
117.445	74.3362
117.623	74.3327
117.807	74.3291
117.986	74.3256
118.166	74.3221
118.343	74.3186
118.520	74.3151
118.693	74.3116
118.868	74.3080
119.045	74.3043
119.228	74.3008
119.410	74.2972
119.589	74.2936
119.766	74.2901
119.938	74.2866
120.107	74.2829
120.282	74.2792
120.457	74.2756
120.631	74.2719
120.806	74.2681
120.984	74.2644
121.157	74.2606
121.334	74.2569
121.514	74.2534
121.694	74.2499
121.870	74.2462
122.051	74.2424
122.234	74.2384
122.413	74.2345
122.590	74.2308
122.767	74.2271
122.945	74.2234
123.121	74.2196
123.297	74.2158
123.471	74.2120
123.647	74.2081
123.822	74.2044
123.993	74.2005
124.161	74.1966
124.333	74.1928
124.499	74.1891
124.668	74.1853
124.834	74.1814
124.998	74.1777
125.158	74.1739
125.327	74.1700
125.493	74.1659
125.661	74.1618
125.832	74.1578
126.001	74.1538
126.175	74.1498
126.345	74.1458
126.517	74.1418
126.691	74.1377
126.864	74.1336
127.037	74.1295
127.204	74.1254
127.380	74.1215
127.558	74.1176
127.735	74.1136
127.916	74.1096
128.094	74.1055
128.278	74.1014
128.459	74.0973
128.635	74.0930
128.813	74.0888
128.986	74.0847
129.157	74.0806
129.331	74.0766
129.504	74.0725
129.675	74.0685
129.846	74.0644
130.017	74.0602
130.187	74.0560
130.354	74.0518
130.523	74.0475
130.690	74.0434
130.860	74.0392
131.029	74.0350
131.201	74.0308
131.368	74.0266
131.540	74.0225
131.715	74.0182
131.893	74.0138
132.075	74.0095
132.255	74.0053
132.434	74.0009
132.611	73.9967
132.786	73.9924
132.963	73.9881
133.137	73.9837
133.309	73.9793
133.479	73.9747
133.649	73.9702
133.820	73.9658
133.990	73.9615
134.161	73.9571
134.326	73.9528
134.495	73.9485
134.664	73.9441
134.833	73.9397
135.005	73.9354
135.180	73.9311
135.358	73.9267
135.533	73.9222
135.708	73.9176
135.884	73.9130
136.065	73.9086
136.245	73.9041
136.424	73.8997
136.603	73.8954
136.783	73.8909
136.961	73.8864
137.135	73.8818
137.314	73.8771
137.489	73.8724
137.665	73.8678
137.847	73.8633
138.023	73.8588
138.198	73.8543
138.372	73.8498
138.546	73.8452
138.719	73.8406
138.887	73.8360
139.062	73.8314
139.236	73.8268
139.411	73.8221
139.586	73.8176
139.760	73.8130
139.932	73.8083
140.100	73.8036
140.269	73.7990
140.433	73.7943
140.597	73.7896
140.759	73.7849
140.921	73.7802
141.081	73.7755
141.249	73.7709
141.424	73.7663
141.601	73.7617
141.779	73.7570
141.957	73.7522
142.138	73.7473
142.313	73.7425
142.492	73.7379
142.673	73.7332
142.851	73.7285
143.026	73.7237
143.204	73.7189
143.384	73.7141
143.563	73.7093
143.738	73.7045
143.913	73.6997
144.087	73.6949
144.261	73.6901
144.433	73.6853
144.606	73.6805
144.778	73.6757
144.951	73.6710
145.124	73.6663
145.298	73.6614
145.472	73.6566
145.649	73.6518
145.824	73.6470
145.995	73.6422
146.169	73.6374
146.338	73.6326
146.512	73.6277
146.686	73.6228
146.854	73.6180
147.018	73.6133
147.185	73.6085
147.347	73.6037
147.510	73.5989
147.671	73.5941
147.832	73.5890
147.994	73.5840
148.161	73.5790
148.324	73.5740
148.488	73.5691
148.650	73.5643
148.823	73.5594
149.000	73.5544
149.181	73.5496
149.362	73.5448
149.546	73.5400
149.725	73.5352
149.903	73.5302
150.082	73.5252
150.259	73.5203
150.434	73.5154
150.614	73.5104
150.791	73.5056
150.971	73.5007
151.151	73.4956
151.327	73.4906
151.506	73.4857
151.691	73.4807
151.867	73.4758
152.036	73.4709
152.211	73.4659
152.385	73.4610
152.556	73.4561
152.729	73.4510
152.903	73.4460
153.078	73.4410
153.248	73.4360
153.420	73.4310
153.596	73.4260
153.769	73.4210
153.940	73.4160
154.115	73.4111
154.286	73.4062
154.465	73.4016
154.646	73.3966
154.825	73.3916
155.001	73.3866
155.174	73.3815
155.346	73.3764
155.516	73.3712
155.688	73.3662
155.865	73.3612
156.039	73.3563
156.217	73.3513
156.398	73.3463
156.575	73.3414
156.754	73.3364
156.931	73.3314
157.108	73.3266
157.285	73.3217
157.460	73.3167
157.633	73.3116
157.806	73.3065
157.972	73.3015
158.139	73.2965
158.304	73.2915
158.473	73.2863
158.639	73.2813
158.804	73.2763
158.973	73.2714
159.141	73.2663
159.312	73.2613
159.484	73.2563
159.660	73.2514
159.831	73.2464
160.004	73.2416
160.177	73.2366
160.353	73.2315
160.529	73.2265
160.706	73.2216
160.881	73.2166
161.057	73.2117
161.233	73.2068
161.410	73.2018
161.589	73.1969
161.767	73.1918
161.948	73.1868
162.128	73.1819
162.306	73.1770
162.482	73.1722
162.657	73.1674
162.834	73.1623
163.004	73.1573
163.173	73.1522
163.341	73.1472
163.509	73.1423
163.684	73.1373
163.860	73.1323
164.031	73.1274
164.202	73.1223
164.377	73.1174
164.551	73.1126
164.727	73.1078
164.898	73.1029
165.073	73.0979
165.246	73.0930
165.421	73.0881
165.595	73.0832
165.772	73.0783
165.953	73.0735
166.131	73.0687
166.304	73.0637
166.477	73.0587
166.656	73.0537
166.838	73.0488
167.019	73.0438
167.200	73.0390
167.382	73.0341
167.560	73.0292
167.737	73.0243
167.913	73.0195
168.086	73.0147
168.255	73.0100
168.426	73.0052
168.595	73.0003
168.763	72.9954
168.929	72.9905
169.095	72.9857
169.257	72.9809
169.418	72.9761
169.576	72.9715
169.735	72.9669
169.895	72.9620
170.052	72.9572
170.212	72.9524
170.374	72.9476
170.534	72.9428
170.693	72.9380
170.854	72.9332
171.015	72.9285
171.176	72.9238
171.337	72.9191
171.499	72.9142
171.660	72.9094
171.822	72.9048
171.987	72.9001
172.151	72.8953
172.315	72.8907
172.484	72.8860
172.650	72.8814
172.815	72.8767
172.978	72.8720
173.140	72.8673
173.299	72.8626
173.455	72.8580
173.611	72.8534
173.764	72.8488
173.915	72.8443
174.065	72.8397
174.215	72.8351
174.367	72.8305
174.516	72.8259
174.667	72.8215
174.816	72.8170
174.971	72.8126
175.122	72.8081
175.273	72.8036
175.430	72.7990
175.584	72.7944
175.739	72.7898
175.895	72.7853
176.050	72.7810
176.206	72.7766
176.360	72.7721
176.516	72.7676
176.680	72.7631
176.841	72.7587
177.001	72.7542
177.156	72.7499
177.319	72.7456
177.483	72.7412
